MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10307679119,000000000023705340,0.1190,Active Import Interval (kWh),29-08-2025 06:00
10307679119,000000000023705340,0.1580,Active Import Interval (kWh),29-08-2025 05:30
10307679119,000000000023705340,0.1660,Active Import Interval (kWh),29-08-2025 05:00
10307679119,000000000023705340,0.1330,Active Import Interval (kWh),29-08-2025 04:30
10307679119,000000000023705340,0.1890,Active Import Interval (kWh),29-08-2025 04:00
10307679119,000000000023705340,0.2180,Active Import Interval (kWh),29-08-2025 03:30
10307679119,000000000023705340,0.1770,Active Import Interval (kWh),29-08-2025 03:00
10307679119,000000000023705340,0.1270,Active Import Interval (kWh),29-08-2025 02:30
10307679119,000000000023705340,0.1740,Active Import Interval (kWh),29-08-2025 02:00
10307679119,000000000023705340,0.1610,Active Import Interval (kWh),29-08-2025 01:30
10307679119,000000000023705340,0.3210,Active Import Interval (kWh),29-08-2025 01:00
10307679119,000000000023705340,0.3790,Active Import Interval (kWh),29-08-2025 00:30
10307679119,000000000023705340,0.7660,Active Import Interval (kWh),29-08-2025 00:00
10307679119,000000000023705340,0.7000,Active Import Interval (kWh),28-08-2025 23:30
10307679119,000000000023705340,0.6450,Active Import Interval (kWh),28-08-2025 23:00
10307679119,000000000023705340,0.7160,Active Import Interval (kWh),28-08-2025 22:30
10307679119,000000000023705340,1.0480,Active Import Interval (kWh),28-08-2025 22:00
10307679119,000000000023705340,1.1890,Active Import Interval (kWh),28-08-2025 21:30
10307679119,000000000023705340,0.5760,Active Import Interval (kWh),28-08-2025 21:00
10307679119,000000000023705340,0.4410,Active Import Interval (kWh),28-08-2025 20:30
10307679119,000000000023705340,0.5670,Active Import Interval (kWh),28-08-2025 20:00
10307679119,000000000023705340,0.8170,Active Import Interval (kWh),28-08-2025 19:30
10307679119,000000000023705340,0.4900,Active Import Interval (kWh),28-08-2025 19:00
10307679119,000000000023705340,0.4320,Active Import Interval (kWh),28-08-2025 18:30
10307679119,000000000023705340,0.4010,Active Import Interval (kWh),28-08-2025 18:00
10307679119,000000000023705340,1.9510,Active Import Interval (kWh),28-08-2025 17:30
10307679119,000000000023705340,1.1910,Active Import Interval (kWh),28-08-2025 17:00
10307679119,000000000023705340,0.1940,Active Import Interval (kWh),28-08-2025 16:30
10307679119,000000000023705340,0.2500,Active Import Interval (kWh),28-08-2025 16:00
10307679119,000000000023705340,0.3710,Active Import Interval (kWh),28-08-2025 15:30
10307679119,000000000023705340,0.1640,Active Import Interval (kWh),28-08-2025 15:00
10307679119,000000000023705340,0.1500,Active Import Interval (kWh),28-08-2025 14:30
10307679119,000000000023705340,0.2270,Active Import Interval (kWh),28-08-2025 14:00
10307679119,000000000023705340,0.1740,Active Import Interval (kWh),28-08-2025 13:30
10307679119,000000000023705340,0.3480,Active Import Interval (kWh),28-08-2025 13:00
10307679119,000000000023705340,0.4410,Active Import Interval (kWh),28-08-2025 12:30
10307679119,000000000023705340,0.4490,Active Import Interval (kWh),28-08-2025 12:00
10307679119,000000000023705340,0.3810,Active Import Interval (kWh),28-08-2025 11:30
10307679119,000000000023705340,0.4400,Active Import Interval (kWh),28-08-2025 11:00
10307679119,000000000023705340,0.3810,Active Import Interval (kWh),28-08-2025 10:30
10307679119,000000000023705340,0.5170,Active Import Interval (kWh),28-08-2025 10:00
10307679119,000000000023705340,0.1080,Active Import Interval (kWh),28-08-2025 09:30
10307679119,000000000023705340,0.1910,Active Import Interval (kWh),28-08-2025 09:00
10307679119,000000000023705340,0.3270,Active Import Interval (kWh),28-08-2025 08:30
10307679119,000000000023705340,0.1680,Active Import Interval (kWh),28-08-2025 08:00
10307679119,000000000023705340,0.1410,Active Import Interval (kWh),28-08-2025 07:30
10307679119,000000000023705340,0.1450,Active Import Interval (kWh),28-08-2025 07:00
10307679119,000000000023705340,0.9800,Active Import Interval (kWh),28-08-2025 06:30
10307679119,000000000023705340,0.1620,Active Import Interval (kWh),28-08-2025 06:00
10307679119,000000000023705340,0.1350,Active Import Interval (kWh),28-08-2025 05:30
10307679119,000000000023705340,0.1320,Active Import Interval (kWh),28-08-2025 05:00
10307679119,000000000023705340,0.1580,Active Import Interval (kWh),28-08-2025 04:30
10307679119,000000000023705340,0.1130,Active Import Interval (kWh),28-08-2025 04:00
10307679119,000000000023705340,0.1190,Active Import Interval (kWh),28-08-2025 03:30
10307679119,000000000023705340,0.1350,Active Import Interval (kWh),28-08-2025 03:00
10307679119,000000000023705340,0.1620,Active Import Interval (kWh),28-08-2025 02:30
10307679119,000000000023705340,0.3790,Active Import Interval (kWh),28-08-2025 02:00
10307679119,000000000023705340,1.1940,Active Import Interval (kWh),28-08-2025 01:30
10307679119,000000000023705340,0.2040,Active Import Interval (kWh),28-08-2025 01:00
10307679119,000000000023705340,0.2170,Active Import Interval (kWh),28-08-2025 00:30
10307679119,000000000023705340,0.2350,Active Import Interval (kWh),28-08-2025 00:00
10307679119,000000000023705340,0.2370,Active Import Interval (kWh),27-08-2025 23:30
10307679119,000000000023705340,0.3510,Active Import Interval (kWh),27-08-2025 23:00
10307679119,000000000023705340,0.3780,Active Import Interval (kWh),27-08-2025 22:30
10307679119,000000000023705340,0.4170,Active Import Interval (kWh),27-08-2025 22:00
10307679119,000000000023705340,0.3030,Active Import Interval (kWh),27-08-2025 21:30
10307679119,000000000023705340,0.3470,Active Import Interval (kWh),27-08-2025 21:00
10307679119,000000000023705340,0.8100,Active Import Interval (kWh),27-08-2025 20:30
10307679119,000000000023705340,0.3960,Active Import Interval (kWh),27-08-2025 20:00
10307679119,000000000023705340,0.8870,Active Import Interval (kWh),27-08-2025 19:30
10307679119,000000000023705340,2.0900,Active Import Interval (kWh),27-08-2025 19:00
10307679119,000000000023705340,0.3460,Active Import Interval (kWh),27-08-2025 18:30
10307679119,000000000023705340,0.2290,Active Import Interval (kWh),27-08-2025 18:00
10307679119,000000000023705340,1.4200,Active Import Interval (kWh),27-08-2025 17:30
10307679119,000000000023705340,0.2670,Active Import Interval (kWh),27-08-2025 17:00
10307679119,000000000023705340,0.4160,Active Import Interval (kWh),27-08-2025 16:30
10307679119,000000000023705340,0.7390,Active Import Interval (kWh),27-08-2025 16:00
10307679119,000000000023705340,0.2370,Active Import Interval (kWh),27-08-2025 15:30
10307679119,000000000023705340,0.2500,Active Import Interval (kWh),27-08-2025 15:00
10307679119,000000000023705340,0.2350,Active Import Interval (kWh),27-08-2025 14:30
10307679119,000000000023705340,0.2150,Active Import Interval (kWh),27-08-2025 14:00
10307679119,000000000023705340,0.1970,Active Import Interval (kWh),27-08-2025 13:30
10307679119,000000000023705340,0.6450,Active Import Interval (kWh),27-08-2025 13:00
10307679119,000000000023705340,0.6240,Active Import Interval (kWh),27-08-2025 12:30
10307679119,000000000023705340,0.1980,Active Import Interval (kWh),27-08-2025 12:00
10307679119,000000000023705340,0.1730,Active Import Interval (kWh),27-08-2025 11:30
10307679119,000000000023705340,0.1850,Active Import Interval (kWh),27-08-2025 11:00
10307679119,000000000023705340,0.2180,Active Import Interval (kWh),27-08-2025 10:30
10307679119,000000000023705340,0.2310,Active Import Interval (kWh),27-08-2025 10:00
10307679119,000000000023705340,0.2860,Active Import Interval (kWh),27-08-2025 09:30
10307679119,000000000023705340,0.1810,Active Import Interval (kWh),27-08-2025 09:00
10307679119,000000000023705340,0.1680,Active Import Interval (kWh),27-08-2025 08:30
10307679119,000000000023705340,0.1470,Active Import Interval (kWh),27-08-2025 08:00
10307679119,000000000023705340,0.1210,Active Import Interval (kWh),27-08-2025 07:30
10307679119,000000000023705340,0.1560,Active Import Interval (kWh),27-08-2025 07:00
10307679119,000000000023705340,1.3810,Active Import Interval (kWh),27-08-2025 06:30
10307679119,000000000023705340,0.1160,Active Import Interval (kWh),27-08-2025 06:00
10307679119,000000000023705340,0.1180,Active Import Interval (kWh),27-08-2025 05:30
10307679119,000000000023705340,0.1450,Active Import Interval (kWh),27-08-2025 05:00
10307679119,000000000023705340,0.1550,Active Import Interval (kWh),27-08-2025 04:30
10307679119,000000000023705340,0.1560,Active Import Interval (kWh),27-08-2025 04:00
10307679119,000000000023705340,0.1530,Active Import Interval (kWh),27-08-2025 03:30
10307679119,000000000023705340,0.1730,Active Import Interval (kWh),27-08-2025 03:00
10307679119,000000000023705340,0.1720,Active Import Interval (kWh),27-08-2025 02:30
10307679119,000000000023705340,0.1700,Active Import Interval (kWh),27-08-2025 02:00
10307679119,000000000023705340,0.1890,Active Import Interval (kWh),27-08-2025 01:30
10307679119,000000000023705340,0.3820,Active Import Interval (kWh),27-08-2025 01:00
10307679119,000000000023705340,0.4850,Active Import Interval (kWh),27-08-2025 00:30
10307679119,000000000023705340,1.0500,Active Import Interval (kWh),27-08-2025 00:00
10307679119,000000000023705340,0.5860,Active Import Interval (kWh),26-08-2025 23:30
10307679119,000000000023705340,0.9120,Active Import Interval (kWh),26-08-2025 23:00
10307679119,000000000023705340,0.6690,Active Import Interval (kWh),26-08-2025 22:30
10307679119,000000000023705340,0.3890,Active Import Interval (kWh),26-08-2025 22:00
10307679119,000000000023705340,0.4270,Active Import Interval (kWh),26-08-2025 21:30
10307679119,000000000023705340,1.0030,Active Import Interval (kWh),26-08-2025 21:00
10307679119,000000000023705340,0.9700,Active Import Interval (kWh),26-08-2025 20:30
10307679119,000000000023705340,0.4260,Active Import Interval (kWh),26-08-2025 20:00
10307679119,000000000023705340,0.5190,Active Import Interval (kWh),26-08-2025 19:30
10307679119,000000000023705340,0.6370,Active Import Interval (kWh),26-08-2025 19:00
10307679119,000000000023705340,0.4690,Active Import Interval (kWh),26-08-2025 18:30
10307679119,000000000023705340,0.5230,Active Import Interval (kWh),26-08-2025 18:00
10307679119,000000000023705340,1.3380,Active Import Interval (kWh),26-08-2025 17:30
10307679119,000000000023705340,0.2820,Active Import Interval (kWh),26-08-2025 17:00
10307679119,000000000023705340,0.7350,Active Import Interval (kWh),26-08-2025 16:30
10307679119,000000000023705340,0.2620,Active Import Interval (kWh),26-08-2025 16:00
10307679119,000000000023705340,0.2280,Active Import Interval (kWh),26-08-2025 15:30
10307679119,000000000023705340,0.2510,Active Import Interval (kWh),26-08-2025 15:00
10307679119,000000000023705340,0.2170,Active Import Interval (kWh),26-08-2025 14:30
10307679119,000000000023705340,0.2320,Active Import Interval (kWh),26-08-2025 14:00
10307679119,000000000023705340,0.3300,Active Import Interval (kWh),26-08-2025 13:30
10307679119,000000000023705340,0.3800,Active Import Interval (kWh),26-08-2025 13:00
10307679119,000000000023705340,0.3750,Active Import Interval (kWh),26-08-2025 12:30
10307679119,000000000023705340,0.4910,Active Import Interval (kWh),26-08-2025 12:00
10307679119,000000000023705340,0.3260,Active Import Interval (kWh),26-08-2025 11:30
10307679119,000000000023705340,0.9680,Active Import Interval (kWh),26-08-2025 11:00
10307679119,000000000023705340,0.6900,Active Import Interval (kWh),26-08-2025 10:30
10307679119,000000000023705340,0.5000,Active Import Interval (kWh),26-08-2025 10:00
10307679119,000000000023705340,0.3680,Active Import Interval (kWh),26-08-2025 09:30
10307679119,000000000023705340,0.1660,Active Import Interval (kWh),26-08-2025 09:00
10307679119,000000000023705340,0.1680,Active Import Interval (kWh),26-08-2025 08:30
10307679119,000000000023705340,0.1580,Active Import Interval (kWh),26-08-2025 08:00
10307679119,000000000023705340,0.1500,Active Import Interval (kWh),26-08-2025 07:30
10307679119,000000000023705340,0.1530,Active Import Interval (kWh),26-08-2025 07:00
10307679119,000000000023705340,0.9800,Active Import Interval (kWh),26-08-2025 06:30
10307679119,000000000023705340,0.1410,Active Import Interval (kWh),26-08-2025 06:00
10307679119,000000000023705340,0.1540,Active Import Interval (kWh),26-08-2025 05:30
10307679119,000000000023705340,0.1380,Active Import Interval (kWh),26-08-2025 05:00
10307679119,000000000023705340,0.1400,Active Import Interval (kWh),26-08-2025 04:30
10307679119,000000000023705340,0.1510,Active Import Interval (kWh),26-08-2025 04:00
10307679119,000000000023705340,0.1280,Active Import Interval (kWh),26-08-2025 03:30
10307679119,000000000023705340,0.1230,Active Import Interval (kWh),26-08-2025 03:00
10307679119,000000000023705340,0.1400,Active Import Interval (kWh),26-08-2025 02:30
10307679119,000000000023705340,0.1640,Active Import Interval (kWh),26-08-2025 02:00
10307679119,000000000023705340,0.1930,Active Import Interval (kWh),26-08-2025 01:30
10307679119,000000000023705340,0.3540,Active Import Interval (kWh),26-08-2025 01:00
10307679119,000000000023705340,1.5400,Active Import Interval (kWh),26-08-2025 00:30
10307679119,000000000023705340,0.7870,Active Import Interval (kWh),26-08-2025 00:00
10307679119,000000000023705340,0.7450,Active Import Interval (kWh),25-08-2025 23:30
10307679119,000000000023705340,1.1060,Active Import Interval (kWh),25-08-2025 23:00
10307679119,000000000023705340,1.2790,Active Import Interval (kWh),25-08-2025 22:30
10307679119,000000000023705340,0.7740,Active Import Interval (kWh),25-08-2025 22:00
10307679119,000000000023705340,0.3290,Active Import Interval (kWh),25-08-2025 21:30
10307679119,000000000023705340,0.3580,Active Import Interval (kWh),25-08-2025 21:00
10307679119,000000000023705340,0.2770,Active Import Interval (kWh),25-08-2025 20:30
10307679119,000000000023705340,0.2340,Active Import Interval (kWh),25-08-2025 20:00
10307679119,000000000023705340,0.2450,Active Import Interval (kWh),25-08-2025 19:30
10307679119,000000000023705340,0.2910,Active Import Interval (kWh),25-08-2025 19:00
10307679119,000000000023705340,0.2170,Active Import Interval (kWh),25-08-2025 18:30
10307679119,000000000023705340,0.4600,Active Import Interval (kWh),25-08-2025 18:00
10307679119,000000000023705340,1.4000,Active Import Interval (kWh),25-08-2025 17:30
10307679119,000000000023705340,0.2330,Active Import Interval (kWh),25-08-2025 17:00
10307679119,000000000023705340,0.2300,Active Import Interval (kWh),25-08-2025 16:30
10307679119,000000000023705340,0.2160,Active Import Interval (kWh),25-08-2025 16:00
10307679119,000000000023705340,0.3030,Active Import Interval (kWh),25-08-2025 15:30
10307679119,000000000023705340,0.2520,Active Import Interval (kWh),25-08-2025 15:00
10307679119,000000000023705340,0.2740,Active Import Interval (kWh),25-08-2025 14:30
10307679119,000000000023705340,0.4510,Active Import Interval (kWh),25-08-2025 14:00
10307679119,000000000023705340,0.2810,Active Import Interval (kWh),25-08-2025 13:30
10307679119,000000000023705340,0.2270,Active Import Interval (kWh),25-08-2025 13:00
10307679119,000000000023705340,0.2130,Active Import Interval (kWh),25-08-2025 12:30
10307679119,000000000023705340,0.2460,Active Import Interval (kWh),25-08-2025 12:00
10307679119,000000000023705340,0.2360,Active Import Interval (kWh),25-08-2025 11:30
10307679119,000000000023705340,0.5280,Active Import Interval (kWh),25-08-2025 11:00
10307679119,000000000023705340,0.5260,Active Import Interval (kWh),25-08-2025 10:30
10307679119,000000000023705340,1.0200,Active Import Interval (kWh),25-08-2025 10:00
10307679119,000000000023705340,0.3160,Active Import Interval (kWh),25-08-2025 09:30
10307679119,000000000023705340,0.2060,Active Import Interval (kWh),25-08-2025 09:00
10307679119,000000000023705340,0.1730,Active Import Interval (kWh),25-08-2025 08:30
10307679119,000000000023705340,0.1530,Active Import Interval (kWh),25-08-2025 08:00
10307679119,000000000023705340,0.1530,Active Import Interval (kWh),25-08-2025 07:30
10307679119,000000000023705340,0.1340,Active Import Interval (kWh),25-08-2025 07:00
10307679119,000000000023705340,0.9840,Active Import Interval (kWh),25-08-2025 06:30
10307679119,000000000023705340,0.1360,Active Import Interval (kWh),25-08-2025 06:00
10307679119,000000000023705340,0.1390,Active Import Interval (kWh),25-08-2025 05:30
10307679119,000000000023705340,0.1380,Active Import Interval (kWh),25-08-2025 05:00
10307679119,000000000023705340,0.1230,Active Import Interval (kWh),25-08-2025 04:30
10307679119,000000000023705340,0.1530,Active Import Interval (kWh),25-08-2025 04:00
10307679119,000000000023705340,0.1540,Active Import Interval (kWh),25-08-2025 03:30
10307679119,000000000023705340,0.1570,Active Import Interval (kWh),25-08-2025 03:00
10307679119,000000000023705340,0.1830,Active Import Interval (kWh),25-08-2025 02:30
10307679119,000000000023705340,0.1650,Active Import Interval (kWh),25-08-2025 02:00
10307679119,000000000023705340,0.1740,Active Import Interval (kWh),25-08-2025 01:30
10307679119,000000000023705340,0.1970,Active Import Interval (kWh),25-08-2025 01:00
10307679119,000000000023705340,0.1770,Active Import Interval (kWh),25-08-2025 00:30
10307679119,000000000023705340,0.5230,Active Import Interval (kWh),25-08-2025 00:00
10307679119,000000000023705340,0.7210,Active Import Interval (kWh),24-08-2025 23:30
10307679119,000000000023705340,0.6310,Active Import Interval (kWh),24-08-2025 23:00
10307679119,000000000023705340,0.5880,Active Import Interval (kWh),24-08-2025 22:30
10307679119,000000000023705340,0.4080,Active Import Interval (kWh),24-08-2025 22:00
10307679119,000000000023705340,0.3730,Active Import Interval (kWh),24-08-2025 21:30
10307679119,000000000023705340,0.5830,Active Import Interval (kWh),24-08-2025 21:00
10307679119,000000000023705340,0.7920,Active Import Interval (kWh),24-08-2025 20:30
10307679119,000000000023705340,1.1570,Active Import Interval (kWh),24-08-2025 20:00
10307679119,000000000023705340,0.2460,Active Import Interval (kWh),24-08-2025 19:30
10307679119,000000000023705340,0.2160,Active Import Interval (kWh),24-08-2025 19:00
10307679119,000000000023705340,0.1890,Active Import Interval (kWh),24-08-2025 18:30
10307679119,000000000023705340,0.2070,Active Import Interval (kWh),24-08-2025 18:00
10307679119,000000000023705340,0.8790,Active Import Interval (kWh),24-08-2025 17:30
10307679119,000000000023705340,0.3880,Active Import Interval (kWh),24-08-2025 17:00
10307679119,000000000023705340,1.9630,Active Import Interval (kWh),24-08-2025 16:30
10307679119,000000000023705340,0.2430,Active Import Interval (kWh),24-08-2025 16:00
10307679119,000000000023705340,0.2190,Active Import Interval (kWh),24-08-2025 15:30
10307679119,000000000023705340,0.7310,Active Import Interval (kWh),24-08-2025 15:00
10307679119,000000000023705340,0.7590,Active Import Interval (kWh),24-08-2025 14:30
10307679119,000000000023705340,0.2280,Active Import Interval (kWh),24-08-2025 14:00
10307679119,000000000023705340,0.2090,Active Import Interval (kWh),24-08-2025 13:30
10307679119,000000000023705340,0.1920,Active Import Interval (kWh),24-08-2025 13:00
10307679119,000000000023705340,0.2220,Active Import Interval (kWh),24-08-2025 12:30
10307679119,000000000023705340,0.2410,Active Import Interval (kWh),24-08-2025 12:00
10307679119,000000000023705340,0.1870,Active Import Interval (kWh),24-08-2025 11:30
10307679119,000000000023705340,0.2870,Active Import Interval (kWh),24-08-2025 11:00
10307679119,000000000023705340,0.3520,Active Import Interval (kWh),24-08-2025 10:30
10307679119,000000000023705340,0.2060,Active Import Interval (kWh),24-08-2025 10:00
10307679119,000000000023705340,0.1810,Active Import Interval (kWh),24-08-2025 09:30
10307679119,000000000023705340,0.2560,Active Import Interval (kWh),24-08-2025 09:00
10307679119,000000000023705340,0.2010,Active Import Interval (kWh),24-08-2025 08:30
10307679119,000000000023705340,0.1400,Active Import Interval (kWh),24-08-2025 08:00
10307679119,000000000023705340,0.1300,Active Import Interval (kWh),24-08-2025 07:30
10307679119,000000000023705340,0.1430,Active Import Interval (kWh),24-08-2025 07:00
10307679119,000000000023705340,0.9220,Active Import Interval (kWh),24-08-2025 06:30
10307679119,000000000023705340,0.1610,Active Import Interval (kWh),24-08-2025 06:00
10307679119,000000000023705340,0.1590,Active Import Interval (kWh),24-08-2025 05:30
10307679119,000000000023705340,0.1520,Active Import Interval (kWh),24-08-2025 05:00
10307679119,000000000023705340,0.1420,Active Import Interval (kWh),24-08-2025 04:30
10307679119,000000000023705340,0.1380,Active Import Interval (kWh),24-08-2025 04:00
10307679119,000000000023705340,0.1830,Active Import Interval (kWh),24-08-2025 03:30
10307679119,000000000023705340,0.2540,Active Import Interval (kWh),24-08-2025 03:00
10307679119,000000000023705340,0.3030,Active Import Interval (kWh),24-08-2025 02:30
10307679119,000000000023705340,0.3190,Active Import Interval (kWh),24-08-2025 02:00
10307679119,000000000023705340,0.3290,Active Import Interval (kWh),24-08-2025 01:30
10307679119,000000000023705340,0.3500,Active Import Interval (kWh),24-08-2025 01:00
10307679119,000000000023705340,0.4910,Active Import Interval (kWh),24-08-2025 00:30
10307679119,000000000023705340,0.5490,Active Import Interval (kWh),24-08-2025 00:00
10307679119,000000000023705340,0.6450,Active Import Interval (kWh),23-08-2025 23:30
10307679119,000000000023705340,0.9530,Active Import Interval (kWh),23-08-2025 23:00
10307679119,000000000023705340,1.8750,Active Import Interval (kWh),23-08-2025 22:30
10307679119,000000000023705340,0.7440,Active Import Interval (kWh),23-08-2025 22:00
10307679119,000000000023705340,0.3710,Active Import Interval (kWh),23-08-2025 21:30
